Area,Location_Score,Square_Feet,Num_Bedrooms,Building_Age,Owner_Name,Street_Address,Price_BDT
Tomsom Bridge,3.0,908,2,23,প্রান্ত যাদব,"৬৭, বিজয়তলা রাস্তা, Tomsom Bridge, Cumilla",4574360.75
Kandirpar,4.0,1490,2,15,আবু তালুকদার,"৯০, পার্বতীমহাসড়ক, Kandirpar, Cumilla",6160559.04
Bagichagaon,3.5,2124,3,15,অর্না দাশগুপ্তা,"৫, শাজাহানহাট স্ট্যান্ড, Bagichagaon, Cumilla",8373674.05
Race Course,3.2,2066,3,15,রায়হান বেগম,"৬৫০, নতুন কালীচর প্লাজা, Race Course, Cumilla",8404299.62
Dharmapur,1.8,1620,2,7,অর্ক মন্ডল,"৭, জীবননগর চত্বর, Dharmapur, Cumilla",6018289.63
Kandirpar,4.0,1916,3,1,ইকবাল তালুকদার,"১১, পুরাতন তারাস্ট্যান্ড, Kandirpar, Cumilla",8812839.38
Tomsom Bridge,3.0,2132,3,24,খুশি পোদ্দার,"৮৯, পুরাতন জগন্নাথনগর, Tomsom Bridge, Cumilla",7970853.7
Shashongacha,2.0,1483,2,5,শেখর বসু,"৩৫, গৌরগ্রাম সড়ক, Shashongacha, Cumilla",5882282.93
Dharmapur,1.8,1519,2,20,আশ্বিনী পোদ্দার,"৯৪৬, সদরগ্রাম পার্ক, Dharmapur, Cumilla",6605015.13
Tomsom Bridge,3.0,1040,2,14,রাহুল শুক্লা,"২, উত্তর সৈয়দসেন্টার, Tomsom Bridge, Cumilla",4852255.46
Bagichagaon,3.5,1987,3,5,মুশফিক মৃধা,"৫, দাউদপার্ক, Bagichagaon, Cumilla",8870219.09
Chawkbazar,2.2,800,2,10,চয়ন রহমান,"৪, নাসিরমোড়, Chawkbazar, Cumilla",4712647.96
Shashongacha,2.0,1834,3,5,রিনা আলম,"৯০৭, কাজীস্ট্যান্ড, Shashongacha, Cumilla",7274834.41
Police Line,3.1,1336,2,6,প্রিয়াঙ্কা হুরাইরা,"৪, সুবর্ণডাঙ্গা গলি, Police Line, Cumilla",7157693.16
Shashongacha,2.0,1061,2,12,রাশেদ চৌধুরী,"৩২৮, নড়িয়াগঞ্জ, Shashongacha, Cumilla",4800249.04
Chawkbazar,2.2,1532,2,11,শান্ত রহমান,"৩৮৭, সৈয়দমাটি, Chawkbazar, Cumilla",5895696.33
Police Line,3.1,1808,3,7,আশীষ বিশ্বাস,"১, উত্তর বাকেরপাড়া, Police Line, Cumilla",7743522.51
Kandirpar,4.0,1649,2,19,প্রীতি পাণ্ডে,"৬, পশ্চিম বোরহানচর পাড়া, Kandirpar, Cumilla",7593442.05
Tomsom Bridge,3.0,1640,2,3,সৌম্য মিত্র,"১, তারাসড়ক, Tomsom Bridge, Cumilla",6732910.16
Bagichagaon,3.5,2557,4,12,কেয়া তালুকদার,"৪৬৭, সুন্দররোড, Bagichagaon, Cumilla",10647856.02
Shashongacha,2.0,2067,3,7,আজাদ সিনহা,"১৫৫, পূর্ব নড়িয়াপুর, Shashongacha, Cumilla",8106085.42
Jhawtala,3.8,1330,2,18,ইজাজ জামান,"১, বটিয়াডাঙ্গা পাড়া, Jhawtala, Cumilla",7047962.86
Kandirpar,4.0,1211,2,15,বাকের হক,"৬, মধ্য সুন্দরগঞ্জ মোড়, Kandirpar, Cumilla",5606544.67
Shashongacha,2.0,1737,3,9,মুশফিক প্রামানিক,"২৯, ফটিকস্টেশন, Shashongacha, Cumilla",7010635.67
Shashongacha,2.0,1463,2,6,আরিয়া সিং,"৫৫৭, পুরাতন মনিরামহাট, Shashongacha, Cumilla",5962635.41
Race Course,3.2,2052,3,15,লিটন কাদের,"৯, উত্তর করিমস্ট্যান্ড, Race Course, Cumilla",8233438.21
Kotbari,2.5,1369,2,5,মৃত্যুঞ্জয় সরকার,"৭৭০, নতুন ফুলগ্রাম রোড, Kotbari, Cumilla",5474774.56
Dharmapur,1.8,1163,2,13,অক্ষয় মজুমদার,"৯, ফুলবাড়ি, Dharmapur, Cumilla",4609807.15
Race Course,3.2,1240,2,0,একরামুল সরকার,"৮, নতুন বিরামখালি প্লাজা, Race Course, Cumilla",5795247.54
Bagichagaon,3.5,2227,4,8,মুনতাসির ইসলাম,"৬৯১, পূর্ব পার্বতীএভিনিউ, Bagichagaon, Cumilla",9758658.68
Dharmapur,1.8,1639,2,24,অদৃতা পোদ্দার,"৬, পুরাতন মাধববাড়ি সেন্টার, Dharmapur, Cumilla",5770950.11
Race Course,3.2,1856,3,24,আনন্দ আবদুল্লাহ,"৩, পুরাতন বকশীগলি, Race Course, Cumilla",7491614.93
Chawkbazar,2.2,1980,3,14,প্রীতি বিশ্বাস,"৫৬, উত্তর কাজীচত্বর, Chawkbazar, Cumilla",7973284.67
Chawkbazar,2.2,2075,3,8,আশালতা সিনহা,"৫৮৮, মানিকহাট, Chawkbazar, Cumilla",7693930.03
Police Line,3.1,1000,2,24,অর্পিতা চন্দ্র,"৪, সদরপুর প্লাজা, Police Line, Cumilla",4416175.24
Shashongacha,2.0,2339,4,14,মাধু রাও,"৮০, দক্ষিণ বন্দরপ্লাজা, Shashongacha, Cumilla",8459541.18
Tomsom Bridge,3.0,1973,3,8,বিনা মোড়ল,"২৮৪, নতুন শাজাহানখালি মহল্লা, Tomsom Bridge, Cumilla",8651972.91
Shashongacha,2.0,1342,2,12,মোস্তাফিজ বিশ্বাস,"৫৩৭, পুরাতন বাকেরগাঁও গলি, Shashongacha, Cumilla",5474497.05
Tomsom Bridge,3.0,800,2,15,ইমন সিনহা,"৭৭, মনিরামনগর এভিনিউ, Tomsom Bridge, Cumilla",4387644.95
Race Course,3.2,1621,2,1,নয়ন ইসলাম,"৯৮, পশ্চিম ফকিরলেন, Race Course, Cumilla",7595498.6
Jhawtala,3.8,1466,2,6,শুভশ্রী ঘোষ,"৫৩৫, কুতুবরাস্তা, Jhawtala, Cumilla",7673640.46
Police Line,3.1,1347,2,23,ঋষিতা চৌধুরী,"২২৯, শিবহাট, Police Line, Cumilla",5754087.03
Kotbari,2.5,1077,2,24,রিনা প্রামানিক,"৯০, কাজীপ্লাজা, Kotbari, Cumilla",3915504.9
Police Line,3.1,1610,2,22,বৃষ্টি প্রামানিক,"১৯৫, নতুন নাসিরদিয়া, Police Line, Cumilla",7193077.96
Chawkbazar,2.2,1159,2,22,সজীব হোসাইন,"৪, মাধবডাঙ্গা, Chawkbazar, Cumilla",5456559.37
Shashongacha,2.0,1324,2,5,মিলন বোস,"৫৯, নতুন বিশ্বনাথবাজার পার্ক, Shashongacha, Cumilla",5466568.09
Kotbari,2.5,1745,3,1,শাওন হুরাইরা,"৯৯, বাকেরমোড়, Kotbari, Cumilla",8042141.61
Kotbari,2.5,1689,3,20,বাকের আবদুল্লাহ,"২, দক্ষিণ মধুপাড়া, Kotbari, Cumilla",6199152.16
Race Course,3.2,1050,2,19,তুষার তালুকদার,"৮, শরণরোড, Race Course, Cumilla",4874315.97
Dharmapur,1.8,1338,2,17,সাবের বিশ্বাস,"১৬, লালসড়ক, Dharmapur, Cumilla",5079482.69
Race Course,3.2,1726,3,4,অমল মজুমদার,"৪৪১, মোল্লাঘাট, Race Course, Cumilla",7496896.35
Dharmapur,1.8,1151,2,4,নাইম জামান,"৫৩৭, মোল্লাস্ট্যান্ড, Dharmapur, Cumilla",4648921.49
Jhawtala,3.8,1915,3,18,রাশেদ মোড়ল,"৩২৯, উত্তর কুমারস্ট্যান্ড, Jhawtala, Cumilla",9432306.63
Dharmapur,1.8,1858,3,2,মিলা মজুমদার,"৪১, পূর্ব মনিরামপাড়া, Dharmapur, Cumilla",6621847.96
Shashongacha,2.0,2498,4,18,নিশিতা খান,"৫২, মানিকরোড, Shashongacha, Cumilla",10115174.39
Tomsom Bridge,3.0,1535,2,23,কাফি হোসাইন,"৫৪, দেবপার্ক, Tomsom Bridge, Cumilla",7004554.22
Kotbari,2.5,1349,2,7,জয়ন্ত তালুকদার,"২৪৪, পুরাতন দৌলতগাঁও, Kotbari, Cumilla",5912382.44
Police Line,3.1,2047,3,1,নিশিতা তালুকদার,"৯, সোনাসেন্টার, Police Line, Cumilla",8541863.53
Tomsom Bridge,3.0,1822,3,18,রিনা হক,"৭৫০, পশ্চিম বদরসড়ক, Tomsom Bridge, Cumilla",6842920.95
Kotbari,2.5,1632,2,2,শহিদুল তাবাসসুম,"৮৭৩, হোসেনবাজার, Kotbari, Cumilla",7084102.04
Police Line,3.1,1823,3,14,নাইম হক,"৬৩, উত্তর সদরস্ট্যান্ড, Police Line, Cumilla",7735239.38
Police Line,3.1,2048,3,13,মুনতাকিম মোড়ল,"১, বকশীবাড়ি লেন, Police Line, Cumilla",9283951.93
Race Course,3.2,1382,2,1,সাব্বির মৃধা,"২১১, পূর্ব আলমচর লেন, Race Course, Cumilla",6804927.38
Police Line,3.1,1956,3,17,মৃত্যুঞ্জয় দাশগুপ্তা,"৮, পশ্চিম মহেশমাটি, Police Line, Cumilla",8317395.7
Shashongacha,2.0,1643,2,3,সাবের উদ্দিন,"৬৭, নতুন বালিয়াহার প্লাজা, Shashongacha, Cumilla",6735993.18
Tomsom Bridge,3.0,1802,3,0,আবু মোড়ল,"৮, হরিরামএভিনিউ, Tomsom Bridge, Cumilla",7423402.19
Police Line,3.1,1417,2,4,বিদ্যা বর্মন,"২৩৩, সুন্দরসড়ক, Police Line, Cumilla",7559349.42
Police Line,3.1,800,2,5,জনা ঘোষ,"৫, পূর্ব মিরগলি, Police Line, Cumilla",5079897.55
Chawkbazar,2.2,1699,3,8,লিটন হুরাইরা,"৯৮০, জীবনগড়, Chawkbazar, Cumilla",6300979.95
Kandirpar,4.0,1602,2,18,নাইম হুরাইরা,"৮৩৯, গোপালসড়ক, Kandirpar, Cumilla",7557393.59
Bagichagaon,3.5,1624,2,9,শান্ত দাশগুপ্তা,"৫০২, উত্তর সিরাজলেন, Bagichagaon, Cumilla",7538083.14
Shashongacha,2.0,2084,3,12,বাঁধন আবদুল্লাহ,"৫, জগন্নাথমাটি, Shashongacha, Cumilla",8435179.28
Race Course,3.2,1490,2,0,প্রীতি দে,"৭১, হাজীপুর পাড়া, Race Course, Cumilla",6210051.47
Shashongacha,2.0,1564,2,14,তামিম হোসাইন,"৩৯, পুরাতন মনিরামহাট গলি, Shashongacha, Cumilla",5774979.14
Dharmapur,1.8,1337,2,21,মিথিলা শুক্লা,"৯৪৫, কুতুবপুর মোড়, Dharmapur, Cumilla",5229514.93
Police Line,3.1,2510,4,22,ইউসুফ প্রামানিক,"৫৮৬, মধ্য মাধবগলি, Police Line, Cumilla",10122179.32
Kotbari,2.5,1750,3,12,সাব্বির চৌধুরী,"৯, উত্তর মাধবহাট রোড, Kotbari, Cumilla",7833651.04
Race Course,3.2,2030,3,19,অর্ণব মন্ডল,"৫০, উত্তর মুরাদডাঙ্গা প্লাজা, Race Course, Cumilla",8159255.46
Tomsom Bridge,3.0,1722,3,14,বিনয় বিশ্বাস,"১৬৮, পূর্ব বাঘারমহল্লা, Tomsom Bridge, Cumilla",7606448.98
Jhawtala,3.8,1028,2,5,মাধু মোড়ল,"৯৯৮, উত্তর শরণঘাট, Jhawtala, Cumilla",6240793.35
Jhawtala,3.8,1214,2,12,আরিয়ান চ্যাটার্জি,"১৪, পলাশতলা স্ট্যান্ড, Jhawtala, Cumilla",6429796.23
Race Course,3.2,1680,3,22,রায়হান তালুকদার,"৭৫৯, মধ্য কুমারপার্ক, Race Course, Cumilla",7028980.87
Shashongacha,2.0,2442,4,4,বিনয় দে,"৮, হাকিমঘাট, Shashongacha, Cumilla",10410957.94
Kandirpar,4.0,1658,3,7,প্রীতি চৌধুরী,"৬০, পশ্চিম মানিকহাট মোড়, Kandirpar, Cumilla",7765372.14
Chawkbazar,2.2,1621,2,7,আশুতোষ সিনহা,"৪১, পূর্ব শাজাহানগ্রাম ঘাট, Chawkbazar, Cumilla",6799370.21
Race Course,3.2,1016,2,6,আব্বাস হক,"৫৪, পুরাতন মির্জাগাঁও, Race Course, Cumilla",4728854.9
Kotbari,2.5,1787,3,13,অভি প্রামানিক,"১০, পূর্ব গৌরগ্রাম, Kotbari, Cumilla",6823406.11
Kotbari,2.5,2353,4,19,প্রান্ত হক,"১, পলাশতলা কর্নার, Kotbari, Cumilla",9463140.25
Bagichagaon,3.5,1343,2,21,অর্ণব প্রামানিক,"৫৪৮, উত্তর হরিরামগঞ্জ, Bagichagaon, Cumilla",6001080.88
Kotbari,2.5,1942,3,3,আনিস আবদুল্লাহ,"৫৭, দক্ষিণ করিমচর গলি, Kotbari, Cumilla",8239600.86
Chawkbazar,2.2,1262,2,20,সুরভি সরকার,"৪৮, জগন্নাথকর্নার, Chawkbazar, Cumilla",4779413.93
Kandirpar,4.0,947,2,7,আদি মৃধা,"৪৭২, কালিয়াতলা, Kandirpar, Cumilla",5669998.21
Race Course,3.2,1058,2,16,আশালতা চৌধুরী,"৫, পুরাতন ফুলচত্বর, Race Course, Cumilla",5823809.23
Tomsom Bridge,3.0,2101,3,12,আনিস জাহান,"৮৮, মধ্য হোসেনস্ট্যান্ড, Tomsom Bridge, Cumilla",8562897.18
Shashongacha,2.0,912,2,16,ইজাজ জামান,"৮, লালচর এভিনিউ, Shashongacha, Cumilla",3988581.96
Kotbari,2.5,1399,2,17,মুশফিক জামান,"৪, রানীরাস্তা, Kotbari, Cumilla",5003582.8
Kotbari,2.5,1897,3,7,ঋষিতা তালুকদার,"৫৮, দৌলতহাট, Kotbari, Cumilla",8155159.15
Race Course,3.2,1117,2,14,রায়হান কাদের,"৩১৪, পুরাতন চিতলগ্রাম, Race Course, Cumilla",5821803.96
Race Course,3.2,1844,3,18,ইশিতা বেগম,"২৮৩, শান্তিপুর রোড, Race Course, Cumilla",8146083.71
Kotbari,2.5,1611,2,23,সাব্বির মৃধা,"১৪৫, লালবাড়ি, Kotbari, Cumilla",4895510.62
Kotbari,2.5,2144,3,5,প্রীতি পাণ্ডে,"৮৫, পশ্চিম লালহাট সেন্টার, Kotbari, Cumilla",8555391.99
Police Line,3.1,1690,3,15,শহিদুল জামান,"৪, বাকেরসেন্টার, Police Line, Cumilla",6289322.41
Kandirpar,4.0,1633,2,22,আবু বেগম,"৩৯, উত্তর কবিরচর, Kandirpar, Cumilla",8186575.04
Jhawtala,3.8,1986,3,2,দূর্গা মৃধা,"৬, দক্ষিণ মির্জাচত্বর, Jhawtala, Cumilla",9650783.65
Shashongacha,2.0,1431,2,18,কাবেরি সরকার,"২, রামগাঁও, Shashongacha, Cumilla",4944992.74
Kotbari,2.5,2095,3,10,বৃষ্টি আলম,"২২, ব্রাহ্মণস্টেশন, Kotbari, Cumilla",8297625.23
Kandirpar,4.0,2069,3,23,করিম জামান,"১২৬, মধ্য মোল্লাডাঙ্গা, Kandirpar, Cumilla",9494216.78
Chawkbazar,2.2,2085,3,15,আশ্বিনী দাশগুপ্তা,"১, শাজাহানবাজার, Chawkbazar, Cumilla",8695955.93
Race Course,3.2,2228,4,24,অলোকা কুমার,"৫৯৬, বিরামগাঁও গলি, Race Course, Cumilla",9253957.39
Race Course,3.2,1222,2,1,বিদ্যা সাহা,"১৯, দেবগড় মোড়, Race Course, Cumilla",6727853.21
Jhawtala,3.8,1750,3,15,মিথিলা বিশ্বাস,"১১, নাজিরগলি, Jhawtala, Cumilla",9070375.83
Jhawtala,3.8,2093,3,1,অশোক রায়,"৭৮২, দক্ষিণ বন্দরবাড়ি, Jhawtala, Cumilla",9781651.9
Chawkbazar,2.2,1473,2,3,প্রিয় সিনহা,"৩৮৭, পূর্ব হাজীহার, Chawkbazar, Cumilla",6274221.7
Jhawtala,3.8,2118,3,1,রায়হান মিঞা,"১৬, পূর্ব বালিয়াবাজার, Jhawtala, Cumilla",9522168.46
Race Course,3.2,1939,3,11,শ্রাবন্তী বিশ্বাস,"৫৪, মিরগঞ্জ, Race Course, Cumilla",8933728.48
Race Course,3.2,1154,2,23,ইউসুফ সুলতানা,"২৯৩, দক্ষিণ রায়মাটি পাড়া, Race Course, Cumilla",5036054.11
Bagichagaon,3.5,1735,3,17,আয়ুষ মোড়ল,"৭৯, পূর্ব আনোয়াররাস্তা, Bagichagaon, Cumilla",7845634.36
Race Course,3.2,1661,3,6,সুরভি পোদ্দার,"৮৯২, পুরাতন সুবর্ণমহাসড়ক, Race Course, Cumilla",6561101.85
Jhawtala,3.8,1445,2,22,হৈমন্তী মন্ডল,"৪৮, মধ্য ওসমানীপুর, Jhawtala, Cumilla",6323536.85
Bagichagaon,3.5,2258,4,1,অঞ্জনা আরা,"৮৪, নতুন নাসিরগ্রাম এভিনিউ, Bagichagaon, Cumilla",9511802.47
Kotbari,2.5,1145,2,21,অন্তরা সেন,"৫৯২, তারামাটি, Kotbari, Cumilla",3901246.84
Kandirpar,4.0,800,2,23,মুনতাসির আলি,"৯৬, সিরাজখালি রাস্তা, Kandirpar, Cumilla",4453008.96
Tomsom Bridge,3.0,1519,2,5,অভিষেক ঠাকুর,"৬২৪, উত্তর শিবনগর পার্ক, Tomsom Bridge, Cumilla",5929226.0
Tomsom Bridge,3.0,2032,3,19,অভি চৌধুরী,"২০, হাজীসড়ক, Tomsom Bridge, Cumilla",8046974.52
Bagichagaon,3.5,1529,2,21,আশীষ চৌধুরী,"৭৪, অভয়ডাঙ্গা স্টেশন, Bagichagaon, Cumilla",6053833.19
Jhawtala,3.8,1347,2,19,অনিন্দিতা রায়,"১, মহেশমোড়, Jhawtala, Cumilla",6692935.6
Tomsom Bridge,3.0,1109,2,18,মিম সুলতানা,"৮০, উত্তর বটিয়াগ্রাম, Tomsom Bridge, Cumilla",5707140.99
Shashongacha,2.0,2135,3,20,ইমন খান,"৮৪৭, নতুন কাজীবাড়ি প্লাজা, Shashongacha, Cumilla",8569335.52
Jhawtala,3.8,1564,2,23,বিনা চট্টোপাধ্যায়,"৫৭, শরণপুর, Jhawtala, Cumilla",6485383.84
Jhawtala,3.8,800,2,22,হৈমন্তী বর্মন,"৭২৬, পশ্চিম বাঘারমাটি, Jhawtala, Cumilla",5252305.92
Kotbari,2.5,1376,2,13,রহিম হুরাইরা,"৪, শ্যামপার্ক, Kotbari, Cumilla",5727962.75
Dharmapur,1.8,1597,2,3,রহিম উদ্দিন,"২১, সুন্দরবাড়ি, Dharmapur, Cumilla",6327391.21
Race Course,3.2,2219,4,19,জনা মৃধা,"৯৫৬, পূর্ব আনোয়ারখালি, Race Course, Cumilla",9493161.59
Kotbari,2.5,1324,2,6,আরিয়া বসু,"৩৯৭, মধ্য সৈয়দবাজার মোড়, Kotbari, Cumilla",6346859.57
Kotbari,2.5,1363,2,13,আশালতা চৌধুরী,"৪, পুরাতন সুন্দরএভিনিউ, Kotbari, Cumilla",5934094.17
Kotbari,2.5,1732,3,7,আয়ুশি কান্ত,"১, মুরাদরাস্তা, Kotbari, Cumilla",7778458.38
Tomsom Bridge,3.0,1197,2,15,জয়দীপ গঙ্গোপাধ্যায়,"৬, বন্দরমহল্লা, Tomsom Bridge, Cumilla",4409642.09
Race Course,3.2,1600,2,23,দূর্গা আচার্য্য,"৪, নতুন হাজীপুর, Race Course, Cumilla",6879316.79
Bagichagaon,3.5,1787,3,12,প্রদ্যুম্ন মন্ডল,"৮, বাকেরহাট, Bagichagaon, Cumilla",7990056.51
Kandirpar,4.0,2485,4,8,আজাদ হোসাইন,"৯৪৯, পূর্ব তারাবাজার, Kandirpar, Cumilla",10830506.28
Police Line,3.1,1825,3,20,আয়ুষ দেব,"২, উত্তর চিতলচত্বর, Police Line, Cumilla",7794144.97
Police Line,3.1,2328,4,22,আজম তাবাসসুম,"২৫৮, হাকিমপার্ক, Police Line, Cumilla",9707904.42
Shashongacha,2.0,1228,2,17,রাশেদুল হাকিম,"৯, মধ্য গৌরখালি, Shashongacha, Cumilla",4996519.63
Jhawtala,3.8,2038,3,7,নাইম আলম,"৪, উত্তর মিরখালি এভিনিউ, Jhawtala, Cumilla",10128997.86
Kandirpar,4.0,1205,2,12,আবু তাবাসসুম,"৫৬২, বন্দরগড় মোড়, Kandirpar, Cumilla",6366001.06
Dharmapur,1.8,1228,2,24,ঈশানি সেন,"৪, সদরবাড়ি সড়ক, Dharmapur, Cumilla",5000462.81
Kotbari,2.5,1160,2,6,আশ্বিনী তালুকদার,"৫, করিমগ্রাম, Kotbari, Cumilla",6176588.44
Chawkbazar,2.2,1768,3,9,বাঁধন সরকার,"৬, বেগমপার্ক, Chawkbazar, Cumilla",6580950.07
Shashongacha,2.0,1780,3,18,প্রিয়াঙ্কা প্রামানিক,"২০৮, পশ্চিম জগন্নাথচত্বর, Shashongacha, Cumilla",7800146.11
Dharmapur,1.8,2467,4,21,মিষ্টি হক,"৫৯, পুরাতন চিতলডাঙ্গা, Dharmapur, Cumilla",8927101.1
Race Course,3.2,1547,2,20,অর্ক মন্ডল,"৫, বিরামএভিনিউ, Race Course, Cumilla",6605991.29
Shashongacha,2.0,2614,4,21,আরাধ্যা ব্যানার্জি,"৩, নতুন সুন্দরমাটি, Shashongacha, Cumilla",8773695.01
Jhawtala,3.8,1848,3,11,আশালতা প্রামানিক,"১৭, পশ্চিম পার্বতীপার্ক, Jhawtala, Cumilla",8819646.36
Jhawtala,3.8,1535,2,16,কাবেরি চ্যাটার্জি,"৫, মধ্য সিরাজতলা সেন্টার, Jhawtala, Cumilla",6938215.15
Bagichagaon,3.5,2332,4,1,অর্ঘ্য প্রামানিক,"৬৫, রায়হাট, Bagichagaon, Cumilla",9618582.46
Bagichagaon,3.5,1758,3,0,বৃষ্টি রহমান,"৩৭, বিজয়নগর, Bagichagaon, Cumilla",7821354.56
Dharmapur,1.8,1364,2,10,সাবের মিঞা,"৮৮, হাকিমচত্বর, Dharmapur, Cumilla",4957840.53
Kandirpar,4.0,1584,2,14,আনিস সরকার,"১১৩, দক্ষিণ পলাশচর, Kandirpar, Cumilla",7772894.39
Police Line,3.1,1024,2,1,শ্রাবন্তী আরা,"৭, হাজীগঞ্জ রাস্তা, Police Line, Cumilla",5686725.47
Jhawtala,3.8,1906,3,19,লতা তাবাসসুম,"৭৭, পুরাতন কুমারখালি, Jhawtala, Cumilla",8512978.84
Police Line,3.1,1637,2,4,অশোক চৌধুরী,"৩০১, বটিয়ারাস্তা, Police Line, Cumilla",7178672.6
Race Course,3.2,1242,2,17,আনিস চৌধুরী,"৩৬, নালিতাগলি, Race Course, Cumilla",5377013.31
Jhawtala,3.8,2212,4,18,মৃত্যুঞ্জয় বিশ্বাস,"২২৮, জীবনপার্ক, Jhawtala, Cumilla",9803455.37
Dharmapur,1.8,1699,3,6,অর্ক দে,"৭৬, আলমমাটি মহাসড়ক, Dharmapur, Cumilla",6521946.24
Dharmapur,1.8,2138,3,20,অহনা হোসাইন,"৫৬০, পূর্ব শান্তিচর প্লাজা, Dharmapur, Cumilla",8127025.92
Dharmapur,1.8,1645,2,12,প্রদীপ বাগচী,"১, সখিলেন, Dharmapur, Cumilla",5278360.48
Chawkbazar,2.2,2089,3,12,হৈমন্তী মিশ্র,"৪২১, অভয়স্ট্যান্ড, Chawkbazar, Cumilla",6648972.27
Shashongacha,2.0,1717,3,6,অঞ্জনা বসু,"৯, রানীবাজার চত্বর, Shashongacha, Cumilla",6013968.15
Kotbari,2.5,1685,3,10,করিম আক্তার,"৪৪, পূর্ব বটিয়াবাড়ি, Kotbari, Cumilla",6770165.09
Kotbari,2.5,1113,2,0,রহিম মন্ডল,"১৫, জীবনরোড, Kotbari, Cumilla",5864029.53
Race Course,3.2,2056,3,1,মৃত্যুঞ্জয় তালুকদার,"৪১৪, উত্তর মুরাদখালি, Race Course, Cumilla",8010082.9
Dharmapur,1.8,3046,5,4,মুনতাসির মজুমদার,"১৭, মহাদেবডাঙ্গা রোড, Dharmapur, Cumilla",11614965.55
Race Course,3.2,2233,4,8,আকাশ সিং,"৭, রানীগাঁও মোড়, Race Course, Cumilla",9037749.18
Jhawtala,3.8,1627,2,21,করিম চৌধুরী,"১৯৬, গৌরপ্লাজা, Jhawtala, Cumilla",7507414.71
Jhawtala,3.8,1695,3,22,মোস্তাফিজ কাদের,"৬, উত্তর মিরগ্রাম ঘাট, Jhawtala, Cumilla",8011397.17
Tomsom Bridge,3.0,1871,3,1,মিষ্টি সুলতানা,"৩, বাকেরলেন, Tomsom Bridge, Cumilla",8280096.31
Kandirpar,4.0,1320,2,9,হৈমন্তী সরকার,"৯, চৌদ্দতলা, Kandirpar, Cumilla",7174506.97
